"x_local","y_local","id","longitude","latitude"
88,7,1,6.224837353,46.72048078
94,14,2,6.255071906,46.73883748
102,18,3,6.298264125,46.74963553
100,28,4,6.286386265,46.78634892
106,39,5,6.319860234,46.81982289
112,51,6,6.349014981,46.85869588
114,61,7,6.359813036,46.89540927
110,76,8,6.342536148,46.9418409
136,100,9,6.478591636,47.01202826
168,112,10,6.64164226,47.05414067
186,130,11,6.73666514,47.10705114
205,145,12,6.830608215,47.15564238
222,167,13,6.91267343,47.22151052
228,182,14,6.94830701,47.27118157
252,190,15,7.06708561,47.30141612
266,209,16,7.144831603,47.35864581
245,203,17,7.037930863,47.34352853
225,200,18,6.935349344,47.33489009
206,194,19,6.833847631,47.32193242
189,193,20,6.753942027,47.31545359
187,201,21,6.745303584,47.34244873
192,212,22,6.769059304,47.3759227
192,228,23,6.774458331,47.42451394
179,233,24,6.704270976,47.44611005
145,217,25,6.526103076,47.39859861
91,187,26,6.252912295,47.30033631
65,174,27,6.122255835,47.26578254
49,164,28,6.033711788,47.23662779
27,151,29,5.927890853,47.18911635
8,133,30,5.82638914,47.13512608
